POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,Dots,Avg,Econ,SR,4w,5w
4,Bhuvneshwar  Kumar,16,16,57,371,13,167,28.53,6.5,26.3,0,0
5,Harbhajan  Singh,19,19,70,456,24,163,19,6.51,17.5,0,0
6,Mohit  Sharma,15,15,50.4,326,20,161,16.3,6.43,15.2,0,0
7,James  Faulkner,16,16,63.1,427,28,161,15.25,6.75,13.53,0,2
8,Ishant  Sharma,16,16,59.4,466,15,160,31.06,7.81,23.86,0,0
9,Praveen  Kumar,15,15,56.2,373,12,155,31.08,6.62,28.16,0,0
10,Amit  Mishra,17,17,62,394,21,151,18.76,6.35,17.71,1,0
11,Lasith  Malinga,17,17,65.2,468,20,147,23.4,7.16,19.6,0,0
12,Thisara  Perera,16,16,59.4,478,19,136,25.15,8.01,18.84,0,0
13,Dwayne  Bravo,18,18,62.3,497,32,135,15.53,7.95,11.71,1,0
14,Irfan  Pathan,15,15,51.2,382,10,134,38.2,7.44,30.8,0,0
15,Parvinder  Awana,14,14,54,412,15,133,27.46,7.62,21.6,0,0
16,Umesh  Yadav,16,16,57.5,508,16,126,31.75,8.78,21.68,1,0
17,Vinay  Kumar,16,16,60.1,493,23,124,21.43,8.19,15.69,0,0
18,Siddharth  Trivedi,17,17,59.5,410,12,122,34.16,6.85,29.91,0,0
19,Ravichandran  Ashwin,18,18,58,390,15,121,26,6.72,23.2,0,0
20,Piyush  Chawla,16,16,58.2,418,11,117,38,7.16,31.81,0,0
21,Lakshmipathy  Balaji,13,13,50,387,12,113,32.25,7.74,25,0,0
22,Chris  Morris,16,16,50,401,15,113,26.73,8.02,20,0,0
23,Jacques  Kallis,16,15,53,394,16,112,24.62,7.43,19.87,0,0
24,Ravi  Rampaul,10,10,37.4,261,13,109,20.07,6.92,17.38,0,0
25,Pragyan  Ojha,16,15,52.2,381,16,108,23.81,7.28,19.62,0,0
26,Ashok  Dinda,13,13,49,465,16,105,29.06,9.48,18.37,0,0
27,Jaydev  Unadkat,13,13,49,370,13,102,28.46,7.55,22.61,0,1
28,Shane  Watson,16,13,41.4,298,13,101,22.92,7.15,19.23,0,0
29,Azhar  Mahmood,11,11,43.5,330,15,99,22,7.52,17.53,0,0
30,Kevon  Cooper,14,14,54,449,19,98,23.63,8.31,17.05,0,0
31,Shahbaz  Nadeem,12,12,44,259,9,95,28.77,5.88,29.33,0,0
32,Ravindra  Jadeja,18,15,43.1,323,13,95,24.84,7.48,19.92,0,0
33,Morne  Morkel,10,10,40,335,7,91,47.85,8.37,34.28,0,0
34,Karn  Sharma,13,13,34.5,230,11,88,20.9,6.6,19,0,0
35,RP  Singh,11,11,39.5,335,13,88,25.76,8.41,18.38,0,0
