,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
0,0,Z Khan,4.0,0,23,1,5.75,11,0,1,3,0
1,1,SL Malinga,4.0,0,23,4,5.75,11,1,1,1,0
2,2,CJ Anderson,3.0,0,33,0,11.0,5,5,1,0,0
3,3,PP Ojha,4.0,0,36,0,9.0,7,2,2,0,0
4,4,Harbhajan Singh,3.0,0,25,0,8.33,5,3,0,0,0
5,5,KA Pollard,2.0,0,19,0,9.5,4,3,0,0,0
6,0,R Vinay Kumar,2.0,0,15,0,7.5,5,2,0,0,0
7,1,M Morkel,4.0,0,16,1,4.0,16,1,1,0,0
8,2,SP Narine,4.0,0,20,4,5.0,14,1,1,0,0
9,3,Shakib Al Hasan,4.0,0,29,1,7.25,7,2,0,0,0
10,4,JH Kallis,3.0,0,23,0,7.66,4,1,0,0,0
11,5,PP Chawla,3.0,0,15,1,5.0,7,0,0,1,0
12,0,MA Starc,4.0,0,33,1,8.25,10,3,1,1,1
13,1,JA Morkel,3.0,0,18,1,6.0,7,2,0,0,0
14,2,VR Aaron,3.0,1,9,1,3.0,12,0,0,2,0
15,3,YS Chahal,4.0,0,18,1,4.5,11,0,0,1,0
16,4,AB Dinda,4.0,0,51,0,12.75,2,4,2,1,0
17,5,Yuvraj Singh,2.0,0,16,0,8.0,1,0,1,0,0
18,0,JP Duminy,2.0,0,10,0,5.0,6,1,0,0,0
19,1,Mohammed Shami,4.0,0,30,1,7.5,14,4,1,2,0
20,2,WD Parnell,3.0,0,19,0,6.33,9,3,0,0,0
21,3,S Nadeem,2.4,0,32,0,12.0,4,2,2,1,1
22,4,R Sharma,3.0,0,33,1,11.0,5,0,4,0,0
23,5,JDS Neesham,2.0,0,22,0,11.0,3,1,2,0,0
24,0,AR Patel,4.0,0,34,1,8.5,9,2,1,3,0
25,1,P Awana,3.0,0,35,1,11.66,5,4,1,2,0
26,2,MG Johnson,4.0,0,47,0,11.75,7,3,3,0,1
27,3,L Balaji,4.0,0,43,2,10.75,7,4,2,2,0
28,4,R Dhawan,3.0,0,21,0,7.0,5,1,1,0,0
29,5,GJ Maxwell,2.0,0,23,0,11.5,3,1,2,0,0
30,0,A Nehra,3.0,0,24,1,8.0,6,4,0,0,0
31,1,MM Sharma,2.5,0,35,0,12.35,5,7,0,0,0
32,2,R Ashwin,4.0,0,41,2,10.25,6,5,0,4,0
33,3,P Negi,3.0,0,37,0,12.33,5,3,2,1,0
34,4,RA Jadeja,4.0,0,43,0,10.75,7,4,2,0,0
35,5,DR Smith,2.0,0,25,1,12.5,2,3,1,0,0
36,0,DS Kulkarni,4.0,0,23,2,5.75,12,1,1,1,0
37,1,KW Richardson,4.0,0,25,2,6.25,10,1,0,2,0
38,2,JP Faulkner,3.0,0,27,0,9.0,4,2,0,1,0
39,3,PV Tambe,4.0,0,23,0,5.75,8,0,1,1,0
40,4,R Bhatia,4.0,0,22,2,5.5,7,1,0,0,0
41,5,STR Binny,1.0,0,7,0,7.0,2,1,0,0,0
42,0,DW Steyn,4.0,0,29,2,7.25,11,5,0,0,0
43,1,B Kumar,3.3,0,21,1,6.0,10,3,0,0,0
44,2,I Sharma,4.0,0,29,1,7.25,9,3,0,1,0
45,3,DJG Sammy,2.0,0,19,0,9.5,3,1,1,1,0
46,4,A Mishra,4.0,0,26,2,6.5,9,2,0,0,0
47,5,KV Sharma,2.0,0,8,0,4.0,5,0,0,0,0
48,0,MA Starc,4.0,0,21,2,5.25,12,2,0,0,0
49,1,JA Morkel,3.0,0,23,1,7.66,10,3,0,1,1
50,2,VR Aaron,4.0,0,30,2,7.5,8,3,0,1,0
51,3,YS Chahal,4.0,0,17,2,4.25,9,0,0,0,0
52,4,AB Dinda,4.0,0,14,1,3.5,12,0,0,0,0
53,5,Yuvraj Singh,1.0,0,6,0,6.0,1,0,0,1,0
54,0,Z Khan,4.0,0,21,2,5.25,12,2,0,1,0
55,1,Harbhajan Singh,4.0,0,14,0,3.5,13,0,0,0,0
56,2,SL Malinga,3.3,0,29,1,8.28,9,5,0,0,0
57,3,JJ Bumrah,2.0,0,14,0,7.0,4,0,1,0,0
58,4,PP Ojha,4.0,0,37,0,9.25,5,5,0,0,0
59,0,Mohammed Shami,4.0,0,33,1,8.25,10,2,0,5,0
60,1,NM Coulter-Nile,4.0,0,27,2,6.75,12,4,0,1,1
61,2,JD Unadkat,4.0,0,25,1,6.25,4,1,0,0,0
62,3,JDS Neesham,2.0,0,26,0,13.0,2,3,1,2,0
63,4,S Nadeem,3.0,0,29,1,9.66,5,3,1,0,0
64,5,JP Duminy,3.0,0,25,0,8.33,3,3,0,0,0
65,0,R Vinay Kumar,4.0,0,35,0,8.75,7,4,0,0,0
66,1,M Morkel,4.0,0,41,2,10.25,10,3,2,2,0
67,2,Shakib Al Hasan,3.0,0,25,0,8.33,5,3,0,1,0
68,3,JH Kallis,2.0,0,15,1,7.5,5,1,1,0,0
69,4,PP Chawla,2.3,0,27,1,10.8,6,1,3,0,0
70,5,SP Narine,4.0,0,18,1,4.5,11,1,0,0,0
71,0,AR Patel,4.0,0,22,1,5.5,14,4,0,0,0
72,1,MG Johnson,4.0,0,29,1,7.25,14,3,1,0,1
73,2,P Awana,4.0,0,40,1,10.0,9,2,3,1,0
74,3,L Balaji,4.0,0,46,0,11.5,7,6,2,0,0
75,4,M Kartik,4.0,0,51,1,12.75,5,2,4,1,0
76,0,KW Richardson,3.0,0,25,1,8.33,5,2,1,1,0
77,1,DS Kulkarni,4.0,0,50,1,12.5,11,5,4,1,0
78,2,JP Faulkner,3.4,0,45,1,12.27,3,1,3,1,0
